Timebase,RefCh1,Sen1Ch1,Sen2Ch1,RefCh2,Sen1Ch2,Sen2Ch2,RefCh3,Sen1Ch3,Sen2Ch3,RefCh4,Sen1Ch4,Sen2Ch4,RefCh5,Sen1Ch5,Sen2Ch5,RefCh6,Sen1Ch6,Sen2Ch6,RefCh7,Sen1Ch7,Sen2Ch7,Flow1,Flow2,FlowC,Pressure(Pa),Temperature(°C),BB(%),ContTemp,SupplyTemp,Status,ContStatus,DetectStatus,LedStatus,ValveStatus,LedTemp,BC11,BC12,BC1,BC21,BC22,BC2,BC31,BC32,BC3,BC41,BC42,BC4,BC51,BC52,BC5,BC61,BC62,BC6,BC71,BC72,BC7,K1,K2,K3,K4,K5,K6,K7,TapeAdvCount,DateTime,Timeread
60,925252,540534,720640,922620,620696,777162,913551,627425,777104,882888,640230,769578,843405,717776,848436,658594,804426,892061,716007,812446,896876,3721,1274,4995,101325,21.11,2.4,35,38,65536,0,10,10,0,35,41,46,60,28,27,38,29,63,37,36,36,46,35,20,42,45,95,51,33,76,37,0.007882983,0.008122658,0.008377311,0.008737831,0.008663215,0.007380824,0.007362851,84,2022-05-30 00:38:00,2022-05-30 00:00:00
60,925296,540537,720656,922668,620703,777187,913569,627415,777108,882938,640232,769616,843432,717773,848454,658627,804460,892110,716065,812487,896940,3721,1274,4995,101325,21.11,0.0,35,38,65536,0,10,10,0,35,23,46,33,21,41,29,12,32,15,42,34,54,24,-29,29,36,58,40,49,26,55,0.007883314,0.008122926,0.008377401,0.008736307,0.008662839,0.007377649,0.007362515,84,2022-05-30 00:40:00,2022-05-30 00:00:00
60,925149,540439,720542,922568,620619,777100,913493,627349,777029,882864,640176,769547,843321,717677,848337,658548,804354,891997,715927,812325,896765,3721,1274,4995,101325,21.11,100.0,35,40,65536,0,10,10,0,35,17,-1,24,26,10,34,23,57,30,4,20,6,3,24,4,21,35,24,13,13,14,0.007882957,0.008122471,0.008378373,0.008736834,0.008663738,0.007378658,0.007362483,84,2022-05-30 00:41:00,2022-05-30 00:00:00
60,925221,540467,720585,922647,620662,777157,913548,627371,777068,882965,640239,769630,843407,717730,848417,658575,804371,892030,715992,812385,896840,3719,1276,4995,101325,21.11,0.0,35,39,65536,0,10,10,0,35,19,40,28,16,34,21,26,31,34,19,23,24,37,30,46,35,21,40,32,40,36,0.007883257,0.00812288,0.008378427,0.008736931,0.008663334,0.007377591,0.007363046,84,2022-05-30 00:42:00,2022-05-30 00:00:00
60,925107,540384,720482,922546,620570,777065,913460,627294,776992,882799,640115,769484,843296,717631,848309,658501,804276,891924,715884,812260,896709,3719,1276,4995,101325,21.11,100.0,35,40,65536,0,10,10,0,35,23,43,33,37,25,49,28,5,36,7,6,9,8,-17,10,10,34,12,6,-27,6,0.007883563,0.008122492,0.008377637,0.008736884,0.008662193,0.007379092,0.007360551,84,2022-05-30 00:43:00,2022-05-30 00:00:00
60,925213,540421,720557,922647,620628,777138,913549,627344,777065,882961,640215,769628,843397,717690,848393,658600,804374,892046,716029,812411,896878,3721,1274,4995,101325,21.11,0.0,35,39,65536,0,10,10,0,35,34,23,50,15,43,20,19,11,24,32,-13,41,50,81,61,51,70,57,32,79,36,0.007883319,0.008123171,0.00837738,0.008735277,0.008663531,0.007380613,0.007364001,84,2022-05-30 00:44:00,2022-05-30 00:00:00
60,925076,540331,720444,922548,620539,777044,913434,627243,776955,882835,640110,769500,843262,717576,848258,658475,804213,891881,715867,812220,896684,3720,1275,4995,101325,21.11,100.0,35,40,65536,0,10,10,0,35,14,19,20,34,38,46,37,48,48,25,82,32,-2,-4,-2,18,-25,21,17,-56,19,0.007883369,0.008123152,0.00837762,0.008737209,0.008663388,0.007377412,0.007358606,84,2022-05-30 00:45:00,2022-05-30 00:00:00
60,925167,540363,720504,922605,620566,777088,913502,627290,777017,882952,640178,769598,843381,717652,848363,658568,804306,891994,715979,812327,896809,3721,1274,4995,101325,21.11,0.0,35,40,65536,0,10,10,0,35,29,33,42,17,14,23,-1,-16,-1,31,18,40,47,67,57,45,75,51,47,95,53,0.007883389,0.008123063,0.008377122,0.008736701,0.008664249,0.007379601,0.007362327,84,2022-05-30 00:46:00,2022-05-30 00:00:00
60,925128,540306,720447,922598,620533,777060,913488,627240,776978,882979,640172,769614,843356,717612,848329,658554,804272,891972,715968,812294,896780,3720,1275,4995,101325,21.11,0.0,35,42,65536,0,10,10,0,35,34,49,50,25,57,33,31,76,41,36,-7,46,35,49,43,37,9,42,40,108,45,0.007883872,0.008123832,0.008378185,0.008736138,0.008664431,0.007378099,0.007365716,84,2022-05-30 00:48:00,2022-05-30 00:00:00
60,925075,540268,720402,922547,620477,777010,913453,627214,776953,882890,640097,769520,843283,717527,848249,658488,804186,891881,715893,812200,896690,3722,1273,4995,101325,21.11,87.3,35,39,65536,0,10,10,0,35,10,11,14,33,25,45,3,-19,4,19,74,25,42,30,52,12,9,13,21,-25,24,0.007883862,0.00812352,0.008377449,0.008737986,0.008663815,0.007377735,0.007362347,84,2022-05-30 00:49:00,2022-05-30 00:00:00
60,925102,540257,720411,922576,620481,777036,913441,627190,776936,882942,640119,769568,843326,717554,848294,658538,804237,891939,715915,812221,896714,3721,1274,4995,101325,21.11,100.0,35,41,65536,0,10,10,0,35,37,36,54,24,-6,32,26,27,34,29,-12,37,18,-8,22,22,57,25,9,22,10,0.007883803,0.008122793,0.008377438,0.008736547,0.008662685,0.007380105,0.00736318,84,2022-05-30 00:50:00,2022-05-30 00:00:00
60,925097,540241,720406,922565,620458,777017,913470,627200,776963,882966,640120,769583,843326,717550,848286,658505,804181,891899,715912,812197,896704,3721,1274,4995,101325,21.11,0.0,35,38,65536,0,10,10,0,35,18,3,26,24,35,32,17,-9,22,31,27,39,7,37,9,35,-27,39,49,39,54,0.00788351,0.008122989,0.00837659,0.008736333,0.00866391,0.007375672,0.007362615,84,2022-05-30 00:51:00,2022-05-30 00:00:00
60,925122,540240,720408,922591,620468,777030,913480,627192,776967,883047,640163,769645,843369,717570,848318,658532,804200,891922,715950,812237,896768,3720,1275,4995,101325,21.11,85.9,35,41,65536,0,10,10,0,35,22,53,31,11,32,15,25,18,32,29,39,37,31,52,38,31,79,35,7,-102,8,0.007884001,0.008123459,0.008376307,0.008736608,0.008664775,0.007379188,0.007354288,84,2022-05-30 00:52:00,2022-05-30 00:00:00
60,925104,540196,720383,922586,620431,777004,913472,627157,776938,883074,640155,769649,843369,717550,848312,658557,804210,891947,715949,812214,896739,3721,1273,4994,101325,21.11,29.8,35,41,65536,0,10,10,0,35,16,14,24,29,71,39,12,26,16,40,28,51,22,23,27,56,33,64,26,55,30,0.007883692,0.008123974,0.008377368,0.008737823,0.008664299,0.007379421,0.007363339,84,2022-05-30 00:54:00,2022-05-30 00:00:00
60,925078,540167,720353,922552,620388,776972,913457,627131,776915,882978,640078,769562,843318,717488,848257,658484,804106,891842,715898,812145,896675,3722,1273,4995,101325,21.11,39.6,35,38,65536,0,10,10,0,35,19,29,28,31,12,41,26,40,34,14,15,17,35,17,42,33,36,37,26,1,29,0.007883829,0.00812344,0.008377722,0.008737838,0.008663451,0.007379662,0.007361438,84,2022-05-30 00:55:00,2022-05-30 00:00:00
60,925108,540150,720356,922572,620375,776976,913473,627117,776923,883045,640105,769619,843344,717494,848279,658513,804133,891881,715919,812148,896704,3722,1273,4995,101325,21.11,41.4,35,38,65536,0,10,10,0,35,9,-6,13,23,22,32,21,21,27,24,-1,31,1,-27,2,18,-25,20,20,-52,22,0.007883982,0.00812349,0.008377022,0.008736581,0.008662918,0.007378115,0.007356563,84,2022-05-30 00:57:00,2022-05-30 00:00:00
60,925024,540090,720276,922513,620324,776925,913422,627062,776864,882992,640060,769567,843298,717437,848218,658462,804052,891795,715844,812063,896600,3720,1275,4995,101325,21.11,0.0,35,41,65536,0,10,10,0,35,15,44,22,17,5,23,33,62,43,12,26,16,33,67,41,41,98,47,0,63,0,0.007884439,0.00812311,0.008377794,0.00873703,0.008664368,0.007382399,0.00736108,84,2022-05-30 00:58:00,2022-05-30 00:00:00
60,925115,540123,720332,922582,620349,776972,913470,627080,776900,883102,640117,769654,843353,717466,848264,658544,804141,891908,715934,812148,896715,3722,1273,4995,101325,21.11,0.0,34,38,65536,0,10,10,0,35,28,45,40,33,40,44,25,19,32,42,40,54,33,43,40,25,-11,28,40,-14,45,0.007884687,0.008123216,0.008377557,0.008736899,0.008664741,0.007379633,0.007357096,84,2022-05-30 00:59:00,2022-05-30 00:00:00
60,925070,540081,720288,922562,620320,776940,913444,627058,776882,883086,640104,769637,843334,717438,848237,658506,804081,891850,715900,812099,896661,3720,1274,4994,101325,21.11,15.5,35,41,65536,0,10,10,0,35,22,27,32,24,54,32,7,-16,9,3,14,3,22,36,27,30,38,34,25,71,28,0.007884738,0.008123907,0.008376819,0.008737284,0.008665335,0.007380239,0.007360535,84,2022-05-30 01:00:00,2022-05-30 01:00:00
60,925154,540105,720337,922609,620341,776982,913502,627073,776912,883211,640161,769730,843422,717499,848323,658590,804158,891945,715964,812142,896725,3721,1274,4995,101325,21.11,0.0,35,38,65536,0,10,10,0,35,35,50,50,16,-9,22,42,76,54,62,72,79,26,12,32,56,109,64,70,101,78,0.007884951,0.008123291,0.00837783,0.008737532,0.008664711,0.007384241,0.007363152,84,2022-05-30 01:01:00,2022-05-30 01:00:00
60,925074,540040,720265,922533,620270,776906,913436,627012,776850,883125,640084,769639,843323,717410,848219,658493,804033,891812,715887,812064,896637,3721,1274,4995,101325,21.11,0.0,35,40,65536,0,10,10,0,35,25,29,37,30,43,41,26,23,34,27,72,35,9,20,11,14,9,16,-22,-53,-25,0.007884976,0.008123525,0.008377663,0.008739096,0.008665188,0.007383747,0.007360581,84,2022-05-30 01:02:00,2022-05-30 01:00:00
60,925114,540043,720291,922578,620288,776938,913465,627021,776871,883188,640120,769694,843364,717425,848258,658566,804108,891913,715955,812116,896705,3722,1273,4995,101325,21.11,0.0,35,38,65536,0,10,10,0,35,28,16,41,19,21,25,18,14,24,18,0,23,37,10,45,31,-12,35,59,107,66,0.007884715,0.008123556,0.008377516,0.008738435,0.00866398,0.007380517,0.007364321,84,2022-05-30 01:03:00,2022-05-30 01:00:00
60,925114,540020,720274,922557,620238,776902,913458,626990,776845,883211,640115,769714,843383,717420,848264,658562,804080,891898,715961,812112,896708,3722,1273,4995,101325,21.11,98.1,35,39,65536,0,10,10,0,35,25,20,37,33,16,45,18,20,24,33,-38,42,22,52,27,53,12,60,20,42,22,0.007884972,0.008123643,0.008378464,0.008736894,0.008664781,0.007380754,0.007364417,84,2022-05-30 01:05:00,2022-05-30 01:00:00
60,925017,539949,720197,922506,620190,776843,913397,626941,776788,883107,640040,769617,843295,717333,848172,658446,803937,891734,715835,811956,896542,3721,1274,4995,101325,21.11,0.0,34,40,65536,0,10,10,0,35,20,4,29,21,57,28,12,20,15,-1,29,-1,23,16,28,3,40,3,31,51,35,0.007884664,0.008124474,0.008378671,0.008737939,0.008664435,0.007383339,0.00736586,84,2022-05-30 01:06:00,2022-05-30 01:00:00
60,925137,540002,720255,922593,620231,776909,913496,626992,776870,883268,640134,769753,843423,717430,848295,658595,804105,891938,715976,812101,896721,3722,1273,4995,101325,21.11,0.0,35,39,65536,0,10,10,0,35,24,107,34,27,26,36,28,9,37,42,19,53,22,26,27,31,-13,35,35,-15,39,0.007886061,0.008124399,0.008378006,0.008737054,0.008664603,0.007380123,0.007362229,84,2022-05-30 01:07:00,2022-05-30 01:00:00
60,925012,539920,720164,922480,620150,776821,913383,626900,776772,883082,639994,769585,843294,717308,848175,658415,803878,891691,715822,811935,896533,3722,1273,4995,101325,21.11,0.0,35,40,65536,0,10,10,0,35,12,-19,18,8,-26,10,24,7,31,10,27,12,23,-45,28,16,19,18,-20,-30,-23,0.007885476,0.00812354,0.008377395,0.008737612,0.008661538,0.007380248,0.007361246,84,2022-05-30 01:08:00,2022-05-30 01:00:00
